image,prediction,nanophase_iron_darkening_anomaly,agglutinate_glass_anomaly,reflectance_anomaly_score,mean_grain_size_microns
images/regolith_test_00000.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00001.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00002.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00003.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00004.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00005.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00006.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00007.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00008.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00009.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00010.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00011.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00012.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00013.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00014.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00015.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00016.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00017.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00018.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00019.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00020.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00021.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00022.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00023.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00024.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00025.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00026.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00027.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00028.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00029.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00030.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00031.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00032.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00033.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00034.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00035.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00036.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00037.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00038.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00039.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00040.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00041.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00042.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00043.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00044.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00045.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00046.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00047.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00048.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00049.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00050.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00051.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00052.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00053.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00054.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00055.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00056.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00057.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00058.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00059.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00060.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00061.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00062.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00063.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00064.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00065.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00066.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00067.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00068.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00069.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00070.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00071.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00072.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00073.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00074.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00075.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00076.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00077.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00078.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00079.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00080.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00081.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00082.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00083.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00084.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00085.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00086.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00087.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00088.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00089.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00090.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00091.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00092.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00093.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00094.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00095.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00096.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00097.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00098.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00099.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00100.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00101.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00102.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00103.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00104.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00105.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00106.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00107.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00108.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00109.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00110.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00111.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00112.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00113.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00114.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00115.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00116.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00117.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00118.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00119.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00120.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00121.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00122.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00123.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00124.jpg,0,0.0,0.0,0.0,420.0
images/regolith_test_00125.jpg,0,0.0,0.0,0.0,420.0
